2026-08-26 10:13:37 | INFO     | src.pipeline | [AAPL] Loading 62 curated rows into stock_prices...
2026-08-26 10:13:37 | INFO     | src.pipeline | [AAPL] Done. inserted=1 updated=20 rejected=0
2026-08-26 10:13:37 | INFO     | src.pipeline | [MSFT] Registering company metadata...
2026-08-26 10:13:37 | INFO     | src.pipeline | [MSFT] Extracting last 90 days of price history...
2026-08-26 10:13:37 | INFO     | src.pipeline | [MSFT] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:13:37 | INFO     | src.pipeline | [MSFT] Transforming (validate -> clean -> enrich)...
2026-08-26 10:13:37 | INFO     | src.pipeline | [MSFT] Loading 62 curated rows into stock_prices...
2026-08-26 10:13:37 | INFO     | src.pipeline | [MSFT] Done. inserted=1 updated=20 rejected=0
2026-08-26 10:13:37 | INFO     | src.pipeline | [GOOGL] Registering company metadata...
2026-08-26 10:13:37 | INFO     | src.pipeline | [GOOGL] Extracting last 90 days of price history...
2026-08-26 10:13:37 | INFO     | src.pipeline | [GOOGL] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:13:37 | INFO     | src.pipeline | [GOOGL] Transforming (validate -> clean -> enrich)...
2026-08-26 10:13:37 | INFO     | src.pipeline | [GOOGL] Loading 62 curated rows into stock_prices...
2026-08-26 10:13:37 | INFO     | src.pipeline | [GOOGL] Done. inserted=1 updated=20 rejected=0
2026-08-26 10:13:37 | INFO     | src.pipeline | [AMZN] Registering company metadata...
2026-08-26 10:13:37 | INFO     | src.pipeline | [AMZN] Extracting last 90 days of price history...
2026-08-26 10:13:38 | INFO     | src.pipeline | [AMZN] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:13:38 | INFO     | src.pipeline | [AMZN] Transforming (validate -> clean -> enrich)...
2026-08-26 10:13:38 | INFO     | src.pipeline | [AMZN] Loading 62 curated rows into stock_prices...
2026-08-26 10:13:38 | INFO     | src.pipeline | [AMZN] Done. inserted=1 updated=20 rejected=0
2026-08-26 10:13:38 | INFO     | src.pipeline | [TSLA] Registering company metadata...
2026-08-26 10:13:38 | INFO     | src.pipeline | [TSLA] Extracting last 90 days of price history...
2026-08-26 10:13:38 | INFO     | src.pipeline | [TSLA] Extracted 62 raw rows from source='yfinance'
2026-08-26 10:13:38 | INFO     | src.pipeline | [TSLA] Transforming (validate -> clean -> enrich)...
2026-08-26 10:13:38 | INFO     | src.pipeline | [TSLA] Loading 62 curated rows into stock_prices...
2026-08-26 10:13:38 | INFO     | src.pipeline | [TSLA] Done. inserted=1 updated=20 rejected=0
2026-08-26 10:13:38 | INFO     | src.pipeline | === Pipeline run #2 finished: status=SUCCESS processed=5 failed=0 inserted=5 updated=100 rejected=0 ===
2026-08-26 10:13:38 | INFO     | src.db_manager | MySQL connection closed.
2026-08-26 10:16:07 | INFO     | src.db_manager | Connected to MySQL database 'market_data_db' at 127.0.0.1:3306
2026-08-26 10:16:07 | INFO     | src.pipeline | === Pipeline run #3 started for 5 ticker(s) ===
